web-scraper-order	web-scraper-start-url	url	url-href	title	date	time	price	tags	
1554660515-1264	https://www.eventbrite.com/d/fl--miami/all-events/?page=15	2019 International Accelerated Bridge Construction  Conference/Exhibitors2019 International Accelerated Bridge Construction  Conference/Exhibitors	https://www.eventbrite.com/e/2019-international-accelerated-bridge-construction-conferenceexhibitors-registration-49345767519?aff=ebdssbdestsearch	2019 International Accelerated Bridge Construction  Conference/Exhibitors	"Thu, Dec 12, 2019, 8:00 AM –"	"Fri, Dec 13, 2019, 5:00 PM EST"	"$350 – $3,800"	"[{""tags"":""Things to do in Miami, FL""},{""tags"":""Conference""},{""tags"":""Science & Tech""}]"	
1554660269-1236	https://www.eventbrite.com/d/fl--miami/all-events/?page=43	Adult Financial Empowerment WorkshopAdult Financial Empowerment Workshop	https://www.eventbrite.com/e/adult-financial-empowerment-workshop-tickets-55092421917?aff=ebdssbdestsearch	Adult Financial Empowerment Workshop	"Sat, May 4, 2019"	10:00 AM – 12:00 PM EDT	Free	"[{""tags"":""Things to do in Opa-Locka, FL""},{""tags"":""Class""},{""tags"":""Business""}]"	
1554660320-1241	https://www.eventbrite.com/d/fl--miami/all-events/?page=38	Cruising the VIPKid Seas!Cruising the VIPKid Seas!	https://www.eventbrite.com/e/cruising-the-vipkid-seas-tickets-59337923326?aff=ebdssbdestsearch	Cruising the VIPKid Seas!	"Thu, Jun 13, 2019, 3:00 PM –"	"Mon, Jun 17, 2019, 10:00 AM EDT"	Free	"[{""tags"":""Things to do in Miami, FL""}]"	
1554660473-1259	https://www.eventbrite.com/d/fl--miami/all-events/?page=20	South Florida HBCU Picnic - 5th AnnualSouth Florida HBCU Picnic - 5th Annual	https://www.eventbrite.com/e/south-florida-hbcu-picnic-5th-annual-tickets-57144552896?aff=ebdssbdestsearch	South Florida HBCU Picnic - 5th Annual	"Sat, July 13, 2019"	1:00 PM – 6:00 PM EDT	Free	"[{""tags"":""Things to do in Miami Gardens, FL""},{""tags"":""Party""},{""tags"":""Family & Education""}]"	
1554660564-1270	https://www.eventbrite.com/d/fl--miami/all-events/?page=9	"HackMiami Conference 7 | May 17-18, 2019 | Seacoast Suites, Miami Beach, FLHackMiami Conference 7 | May 17-18, 2019 | Seacoast Suites, Miami Beach, FL"	https://www.eventbrite.com/e/hackmiami-conference-7-may-17-18-2019-seacoast-suites-miami-beach-fl-tickets-54443029567?aff=ebdssbdestsearch	"HackMiami Conference 7 | May 17-18, 2019 | Seacoast Suites, Miami Beach, FL"	"Fri, May 17, 2019, 8:00 AM –"	"Sat, May 18, 2019, 7:00 PM EDT"	"$159.99 – $1,499.99"	"[{""tags"":""Things to do in Miami Beach, FL""},{""tags"":""Conference""},{""tags"":""Business""}]"	
1554660258-1235	https://www.eventbrite.com/d/fl--miami/all-events/?page=44	Saudi NightSaudi Night	https://www.eventbrite.com/e/saudi-night-tickets-59806571064?aff=ebdssbdestsearch	Saudi Night	"Fri, April 12, 2019"	5:00 PM – 7:00 PM EDT	Free	"[{""tags"":""Things to do in Miami Shores, FL""},{""tags"":""Other""},{""tags"":""Other""}]"	
1554660591-1273	https://www.eventbrite.com/d/fl--miami/all-events/?page=6	2019 UAS DRONES Disaster Conference Miami presented by Motorola Solutions2019 UAS DRONES Disaster Conference Miami presented by Motorola Solutions	https://www.eventbrite.com/e/2019-uas-drones-disaster-conference-miami-presented-by-motorola-solutions-tickets-52968440030?aff=ebdssbdestsearch	2019 UAS DRONES Disaster Conference Miami presented by Motorola Solutions	"Thu, Apr 11, 2019, 8:30 AM –"	"Fri, Apr 12, 2019, 3:30 PM EDT"	$147.50 – $295	"[{""tags"":""Things to do in North Miami, FL""},{""tags"":""Conference""},{""tags"":""Science & Tech""}]"	
1554660600-1274	https://www.eventbrite.com/d/fl--miami/all-events/?page=5	Apparel Textile Sourcing Miami | Trade ShowApparel Textile Sourcing Miami | Trade Show	https://www.eventbrite.com/e/apparel-textile-sourcing-miami-trade-show-tickets-50599416216?aff=ebdssbdestsearch	Apparel Textile Sourcing Miami | Trade Show	"Tue, May 28, 2019, 10:00 AM –"	"Thu, May 30, 2019, 5:00 PM EDT"	Free	"[{""tags"":""Things to do in Miami, FL""},{""tags"":""Conference""},{""tags"":""Business""}]"	
1554660402-1251	https://www.eventbrite.com/d/fl--miami/all-events/?page=28	Chef Allen's Farm-to-Table Monday Night Dinner: Spring Green (APRIL 8)Chef Allen's Farm-to-Table Monday Night Dinner: Spring Green (APRIL 8)	https://www.eventbrite.com/e/chef-allens-farm-to-table-monday-night-dinner-spring-green-april-8-tickets-57748510349?aff=ebdssbdestsearch	Chef Allen's Farm-to-Table Monday Night Dinner: Spring Green (APRIL 8)Chef Allen's Farm-to-Table Monday Night Dinner: Spring Green (APRIL 8)	"Monday, April 8, 2019"	6:30 PM – 8:30 PM EDT	$2 – $60	"Things to do in Miami FL,Night,Dinner,Spring"	
1554660541-1267	https://www.eventbrite.com/d/fl--miami/all-events/?page=12	The Super-Vision ConferenceThe Super-Vision Conference	https://www.eventbrite.com/e/the-super-vision-conference-tickets-50856552317?aff=ebdssbdestsearch	The Super-Vision Conference	"Sat, June 8, 2019"	9:00 AM – 5:00 PM EDT	$45 – $105	"[{""tags"":""Things to do in Coral Gables, FL""},{""tags"":""Networking""},{""tags"":""Business""}]"	
