web-scraper-order	web-scraper-start-url	url	url-href	title	date	time	venue	price	tags							
1554659514-1197	https://www.eventbrite.com/d/ma--boston/all-events/?page=33	Congresswoman Ayanna Pressley & Rev. Mariama White-Hammond: Green New Deal Town HallCongresswoman Ayanna Pressley & Rev. Mariama White-Hammond: Green New Deal ...	https://www.eventbrite.com/e/congresswoman-ayanna-pressley-rev-mariama-white-hammond-green-new-deal-town-hall-tickets-59790711628?aff=ebdssbdestsearch	Congresswoman Ayanna Pressley & Rev. Mariama White-Hammond: Green New Deal...	"Sat, April 20, 2019"	3:00 PM – 5:00 PM EDT	6 Eliot Street	Free	"[{""tags"":""Things to do in Boston, MA""},{""tags"":""Networking""},{""tags"":""Charity & Causes""}]"							
1554659665-1214	https://www.eventbrite.com/d/ma--boston/all-events/?page=16	Devastation On The Nation Tour 2019Devastation On The Nation Tour 2019	https://www.eventbrite.com/e/devastation-on-the-nation-tour-2019-tickets-56001347538?aff=ebdssbdestsearch	Devastation On The Nation Tour 2019	"Sat, June 1, 2019"	5:00 PM – 11:30 PM EDT	472-480 Massachusetts Ave	$26 	"[{""tags"":""Things to do in Cambridge, MA""},{""tags"":""Performance""},{""tags"":""Music""}]"							
1554659420-1187	https://www.eventbrite.com/d/ma--boston/all-events/?page=43	PATH-WAY's Annual Fundraiser Celebration PATH-WAY's Annual Fundraiser Celebration	https://www.eventbrite.com/e/path-ways-annual-fundraiser-celebration-tickets-55406087098?aff=ebdssbdestsearch	PATH-WAY's Annual Fundraiser Celebration	"Sat, May 4, 2019"	6:00 PM – 10:00 PM EDT	25 Allied Drive	$75 	"[{""tags"":""Things to do in Dedham, MA""},{""tags"":""Gala""},{""tags"":""Charity & Causes""}]"							
1554659713-1219	https://www.eventbrite.com/d/ma--boston/all-events/?page=11	Heather Abbott Foundation's 5th Annual Boston Marathon Weekend FundraiserHeather Abbott Foundation's 5th Annual Boston Marathon Weekend Fundraiser	https://www.eventbrite.com/e/heather-abbott-foundations-5th-annual-boston-marathon-weekend-fundraiser-tickets-54956497363?aff=ebdssbdestsearch	Heather Abbott Foundation's 5th Annual Boston Marathon Weekend Fundraiser	"Sun, April 14, 2019"	1:00 PM – 5:00 PM EDT	64 Arlington Street	$60 – $155	"[{""tags"":""Things to do in Boston, MA""},{""tags"":""Party""},{""tags"":""Charity & Causes""}]"							
1554659455-1191	https://www.eventbrite.com/d/ma--boston/all-events/?page=39	"OpsStars 2019 Boston Roadshow, FREE Event @ Seaport Hotel Boston, May 13thOpsStars 2019 Boston Roadshow, FREE Event @ Seaport Hotel Boston, May 13th"	https://www.eventbrite.com/e/opsstars-2019-boston-roadshow-free-event-seaport-hotel-boston-may-13th-tickets-56660989545?aff=ebdssbdestsearch	"OpsStars 2019 Boston Roadshow, FREE Event @ Seaport Hotel Boston, May 13th"	"Mon, May 13, 2019"	9:00 AM – 7:00 PM EDT	1 Seaport Ln	Free	"[{""tags"":""Things to do in Boston, MA""},{""tags"":""Networking""},{""tags"":""Business""}]"							
1554659758-1224	https://www.eventbrite.com/d/ma--boston/all-events/?page=6	Lamb Jam Boston - 2019Lamb Jam Boston - 2019	https://www.eventbrite.com/e/lamb-jam-boston-2019-tickets-53770697604?aff=ebdssbdestsearch	Lamb Jam Boston - 2019	null	null	21 Drydock Avenue	$75 – $125	"[{""tags"":""Things to do in Boston, MA""},{""tags"":""Festival""},{""tags"":""Food & Drink""}]"							
1554659620-1209	https://www.eventbrite.com/d/ma--boston/all-events/?page=21	AABA Spring SoireeAABA Spring Soiree	https://www.eventbrite.com/e/aaba-spring-soiree-tickets-55390540598?aff=ebdssbdestsearch	AABA Spring Soiree	"Thu, April 25, 2019"	7:30 PM – 10:30 PM EDT	1 Marina Park Drive	$60 – $75	"[{""tags"":""Things to do in Boston, MA""},{""tags"":""Gala""},{""tags"":""Food & Drink""}]"							
1554659447-1190	https://www.eventbrite.com/d/ma--boston/all-events/?page=40	Sip & Paint A TOTE BagSip & Paint A TOTE Bag	https://www.eventbrite.com/e/sip-paint-a-tote-bag-tickets-58575892070?aff=ebdssbdestsearch	Sip & Paint A TOTE Bag	"Thu, April 11, 2019"	7:00 PM – 9:00 PM EDT	811 Massachusetts Ave	$60 	"[{""tags"":""Things to do in Boston, MA""},{""tags"":""Class""},{""tags"":""Other""}]"							
1554659440-1189	https://www.eventbrite.com/d/ma--boston/all-events/?page=41	Audience Choice Semi-Finals Story Slam Audience Choice Semi-Finals Story Slam	https://www.eventbrite.com/e/audience-choice-semi-finals-story-slam-tickets-55049748279?aff=ebdssbdestsearch	Audience Choice Semi-Finals Story Slam	"Mon, April 22, 2019"	7:00 PM – 9:30 PM EDT	338 Newbury Street	$20 	"[{""tags"":""Things to do in Boston, MA""},{""tags"":""Performance""},{""tags"":""Arts""}]"							
1554659480-1193	https://www.eventbrite.com/d/ma--boston/all-events/?page=37	"2 Day Boston Event Planning Certificate Program April 6-7, 20192 Day Boston Event Planning Certificate Program April 6-7, 2019"	https://www.eventbrite.com/e/2-day-boston-event-planning-certificate-program-april-6-7-2019-tickets-54195540320?aff=ebdssbdestsearch	"2 Day Boston Event Planning Certificate Program April 6-7, 2019"	"Sat, Apr 6, 2019, 1:00 PM"		1 Hotel Drive	$195 – $995	"[{""tags"":""Things to do in Boston, MA""},{""tags"":""Class""},{""tags"":""Business""}]"							
