web-scraper-order	web-scraper-start-url	url	url-href	title	date	time	price	tags		venue								
1554595650-536	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=23	how to: Academy presents... Elizabeth Gilbert on Life and Love. Elizabeth Gilbert in conversation with Hannah MacInnes.  how to: Academy presents... Elizabeth Gilbert on Life and Love. Elizabeth G...	https://www.eventbrite.com/e/how-to-academy-presents-elizabeth-gilbert-on-life-and-love-elizabeth-gilbert-in-conversation-with-tickets-56262540774?aff=ebdssbdestsearch	how to: Academy presents... Elizabeth Gilbert on Life and Love. Elizabeth G...	"Wed, June 26, 2019"	7:00 PM – 8:15 PM BST	£37.53 – £85.76	"[{""tags"":""Things to do in London""}]"		United Kingdom								
1554595735-575	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=14	Let's Get Fizzical with Three Wine MenLet's Get Fizzical with Three Wine Men	https://www.eventbrite.co.uk/e/lets-get-fizzical-with-three-wine-men-tickets-56281436291?aff=ebdssbdestsearch	Let's Get Fizzical with Three Wine Men	"Thu, 9 May 2019"	18:00 – 21:00 BST	£11.31 – £79.92	"[{""tags"":""Things to do in London""},{""tags"":""Festival""},{""tags"":""Food & Drink""}]"		East Wintergarden								
1554595448-445	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=43	WPC's Bridesmaids Bash WPC's Bridesmaids Bash	https://www.eventbrite.co.uk/e/wpcs-bridesmaids-bash-tickets-59059025134?aff=ebdssbdestsearch	WPC's Bridesmaids Bash	"Wed, 17 April 2019"	18:00 – 20:00 BST	£6	"[{""tags"":""Things to do in London""},{""tags"":""Festival""},{""tags"":""Fashion""}]"		533 King's Road								
1554595535-476	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=35	"Echobelly (St Pancras Old Church, London)Echobelly (St Pancras Old Church, London)"	https://www.eventbrite.co.uk/e/echobelly-st-pancras-old-church-london-tickets-58711544811?aff=ebdssbdestsearch	"Echobelly (St Pancras Old Church, London)"	"Mon, 13 May 2019"	19:30 – 22:30 BST	£20.72	"[{""tags"":""Things to do in London""},{""tags"":""Performance""},{""tags"":""Music""}]"		"Mon, 13 May 2019"								
1554595660-538	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=22	L'Oréal Colour Trophy Southern Region Semi-Final 2019L'Oréal Colour Trophy Southern Region Semi-Final 2019	https://www.eventbrite.co.uk/e/loreal-colour-trophy-southern-region-semi-final-2019-tickets-54970397940?aff=ebdssbdestsearch	L'Oréal Colour Trophy Southern Region Semi-Final 2019	"Tue, 9 April 2019"	17:00 – 22:00 BST	£20 – £25	"[{""tags"":""Things to do in London""},{""tags"":""Expo""},{""tags"":""Business""}]"		35 Marylebone Rd								
1554595404-425	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=47	CertMatters.Live 2019CertMatters.Live 2019	https://www.eventbrite.co.uk/e/certmatterslive-2019-registration-50394323779?aff=ebdssbdestsearch	CertMatters.Live 2019	"Fri, 14 June 2019"	09:30 – 16:30 BST	£0 – £59	"[{""tags"":""Things to do in London""},{""tags"":""Conference""},{""tags"":""Science & Tech""}]"		NW1 2DB								
1554595689-554	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=19	Ice Age - The Lost Kingdom (20th April 2019)Ice Age - The Lost Kingdom (20th April 2019)	https://www.eventbrite.co.uk/e/ice-age-the-lost-kingdom-20th-april-2019-tickets-55489857658?aff=ebdssbdestsearch	Ice Age - The Lost Kingdom (20th April 2019)	20th April 8:00AM	08:00AM-9:30AM		"[{""tags"":""Things to do in London""},{""tags"":""Attraction""},{""tags"":""Other""}]"		No Refunds								
1554595698-555	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=18	LONDON | BPP Students' Association Masquerade BallLONDON | BPP Students' Association Masquerade Ball	https://www.eventbrite.co.uk/e/london-bpp-students-association-masquerade-ball-tickets-57404998897?aff=ebdssbdestsearch	LONDON | BPP Students' Association Masquerade Ball	"Fri, 12 Apr 2019, 18:30 –"	"Sat, 13 Apr 2019, 00:00 BST"	£15 – £65	"[{""tags"":""Things to do in London""},{""tags"":""Party""},{""tags"":""Community""}]"		De Vere Grand Connaught Rooms								
1554595853-649	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=2	Gung-Ho! London 2019Gung-Ho! London 2019	https://www.eventbrite.co.uk/e/gung-ho-london-2019-tickets-51295399922?aff=ebdssbdestsearch	Gung-Ho! London 2019	"Sat, 13 July 2019"	09:00 – 15:00 BST	£26.66 – £53.30	"[{""tags"":""Things to do in London""},{""tags"":""Race""},{""tags"":""Sports & Fitness""}]"		SE19 2GA								
1554595555-489	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=33	New Ways to Promote Reading for Pleasure with Michael RosenNew Ways to Promote Reading for Pleasure with Michael Rosen	https://www.eventbrite.co.uk/e/new-ways-to-promote-reading-for-pleasure-with-michael-rosen-tickets-53060783231?aff=ebdssbdestsearch	New Ways to Promote Reading for Pleasure with Michael Rosen	"Sat, 18 May 2019"	09:30 – 16:30 BST	£85	"[{""tags"":""Things to do in London""},{""tags"":""Conference""},{""tags"":""Family & Education""}]"		SE14 6NW								
1554595786-610	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=9	Digital health and care congress 2019Digital health and care congress 2019	https://www.eventbrite.co.uk/e/digital-health-and-care-congress-2019-registration-49844574464?aff=ebdssbdestsearch	Digital health and care congress 2019	"Wed, 22 May 2019, 08:00 –"	"Thu, 23 May 2019, 17:00 BST"	£240 – £900	"[{""tags"":""Things to do in London""},{""tags"":""Conference""},{""tags"":""Health""}]"		United Kingdom								
1554595745-582	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=13	Om & Ah at the Ministry - A Journey through the CosmosOm & Ah at the Ministry - A Journey through the Cosmos	https://www.eventbrite.co.uk/e/om-ah-at-the-ministry-a-journey-through-the-cosmos-tickets-57546137045?aff=ebdssbdestsearch	Om & Ah at the Ministry - A Journey through the Cosmos	"Sat, 13 April 2019"	10:00 – 13:30 BST	£49.84	"[{""tags"":""Things to do in London""},{""tags"":""Course""},{""tags"":""Health""}]"		103 Gaunt Street								
1554595525-475	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=36	"Fetty Wap (Brixton Academy, London)Fetty Wap (Brixton Academy, London)"	https://www.eventbrite.co.uk/e/fetty-wap-brixton-academy-london-tickets-54646091932?aff=ebdssbdestsearch	"Fetty Wap (Brixton Academy, London)"	"Sun, April 21, 2019"	7:00 PM – 10:30 PM BST	£36.12 – £39.48	"[{""tags"":""Things to do in London""},{""tags"":""Performance""},{""tags"":""Music""}]"		Add to Calendar								
1554595603-514	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=28	Ice Age - The Lost Kingdom (21st April 2019)Ice Age - The Lost Kingdom (21st April 2019)	https://www.eventbrite.co.uk/e/ice-age-the-lost-kingdom-21st-april-2019-tickets-55490134486?aff=ebdssbdestsearch	Ice Age - The Lost Kingdom (21st April 2019)	null	null		"[{""tags"":""Things to do in London""},{""tags"":""Attraction""},{""tags"":""Other""}]"		No Refunds								
1554595795-615	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=8	PyData London 2019PyData London 2019	https://www.eventbrite.com/e/pydata-london-2019-tickets-54410596559?aff=ebdssbdestsearch	PyData London 2019	"Fri, Jul 12, 2019, 8:00 AM –"	"Sun, Jul 14, 2019, 5:00 PM BST"	£102.99 – £505.25	"[{""tags"":""Things to do in London""},{""tags"":""Conference""},{""tags"":""Science & Tech""}]"		London								
1554595726-572	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=15	how to: Academy presents...  Giles Coren: A Man For All Seasons.  Giles Coren in conversation with Matthew Stadlen. how to: Academy presents...  Giles Coren: A Man For All Seasons.  Giles Cor...	https://www.eventbrite.com/e/how-to-academy-presents-giles-coren-a-man-for-all-seasons-giles-coren-in-conversation-with-matthew-tickets-55808845760?aff=ebdssbdestsearch	how to: Academy presents...  Giles Coren: A Man For All Seasons.  Giles Cor...	"Tue, May 7, 2019"	6:45 PM – 8:00 PM BST	£32.16 – £42.88	"[{""tags"":""Things to do in London""}]"		WC1R 4RL								
1554595426-434	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=45	The Pickle Factory with Chaos In The CBD All Night LongThe Pickle Factory with Chaos In The CBD All Night Long	https://www.eventbrite.co.uk/e/the-pickle-factory-with-chaos-in-the-cbd-all-night-long-tickets-57530544407?aff=ebdssbdestsearch	The Pickle Factory with Chaos In The CBD All Night Long	"Fri, 26 Apr 2019, 23:00 –"	"Sat, 27 Apr 2019, 06:00 BST"	£17.09 – £22.81	"[{""tags"":""Things to do in London""},{""tags"":""Performance""},{""tags"":""Music""}]"		The Pickle Factory								
1554595639-530	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=24	UK Convention Team Party Boat UK Convention Team Party Boat	https://www.eventbrite.co.uk/e/uk-convention-team-party-boat-tickets-58482159714?aff=ebdssbdestsearch	UK Convention Team Party Boat	"Fri, 30 Aug 2019, 19:30 –"	"Sat, 31 Aug 2019, 00:00 BST"	£14	[]		United Kingdom								
1554595621-521	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=26	Ice Age - The Lost Kingdom (15th April 2019)Ice Age - The Lost Kingdom (15th April 2019)	https://www.eventbrite.co.uk/e/ice-age-the-lost-kingdom-15th-april-2019-tickets-55488891769?aff=ebdssbdestsearch	Ice Age - The Lost Kingdom (15th April 2019)	null	null		"[{""tags"":""Things to do in London""},{""tags"":""Attraction""},{""tags"":""Other""}]"		No Refunds								
1554595493-459	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=39	UnbekannteUnbekannte	https://www.eventbrite.co.uk/e/unbekannte-tickets-57835143471?aff=ebdssbdestsearch	Unbekannte	"Fri, 26 Apr 2019, 22:30 –"	"Sat, 27 Apr 2019, 04:00 BST"	£16.58 – £21.91	"[{""tags"":""Things to do in London""},{""tags"":""Other""},{""tags"":""Other""}]"										
