web-scraper-order	web-scraper-start-url	url	url-href	title	date	time	venue	price	tags							
1554598421-938	https://www.eventbrite.com/d/il--chicago/all-events/?page=32	The Boat Race Viewing PartyThe Boat Race Viewing Party	https://www.eventbrite.com/e/the-boat-race-viewing-party-tickets-58024210977?aff=ebdssbdestsearch	The Boat Race Viewing Party	"Sun, April 7, 2019"	8:00 AM – 11:00 AM CDT	Refunds up to 7 days before event	$35 	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Other""},{""tags"":""Charity & Causes""}]"							
1554599983-972	https://www.eventbrite.com/d/il--chicago/all-events/?page=19	20th Bonhoeffer Lectures in Public Ethics20th Bonhoeffer Lectures in Public Ethics	https://www.eventbrite.com/e/20th-bonhoeffer-lectures-in-public-ethics-tickets-53824756295?aff=ebdssbdestsearch	20th Bonhoeffer Lectures in Public Ethics	"Fri, May 31, 2019, 5:30 PM –"	"Sat, Jun 1, 2019, 6:30 PM CDT"		$0 – $30	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Conference""},{""tags"":""Spirituality""}]"							
1554599262-960	https://www.eventbrite.com/d/il--chicago/all-events/?page=25	PopUP Dinner~ Food and Fun!PopUP Dinner~ Food and Fun!	https://www.eventbrite.com/e/popup-dinner-food-and-fun-tickets-56919032358?aff=ebdssbdestsearch	PopUP Dinner~ Food and Fun!	"Fri, April 19, 2019"	7:00 PM – 10:00 PM CDT	"Chicago, IL 60613"	$79 	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Gala""},{""tags"":""Food & Drink""}]"							
1554600824-979	https://www.eventbrite.com/d/il--chicago/all-events/?page=12	Maceo ParkerMaceo Parker	https://www.eventbrite.com/e/maceo-parker-tickets-56763839171?aff=ebdssbdestsearch	Maceo Parker	"Thu, Jun 13, 2019, 7:00 PM CDT"		No Refunds	$25 – $65	"[{""tags"":""Things to do in Evanston, IL""},{""tags"":""Performance""},{""tags"":""Music""}]"							
1554598181-936	https://www.eventbrite.com/d/il--chicago/all-events/?page=34	42nd Annual Peter Lisagor Awards for Exemplary Journalism42nd Annual Peter Lisagor Awards for Exemplary Journalism	https://www.eventbrite.com/e/42nd-annual-peter-lisagor-awards-for-exemplary-journalism-tickets-59489118555?aff=ebdssbdestsearch	42nd Annual Peter Lisagor Awards for Exemplary Journalism	"Fri, May 10, 2019"	5:30 PM – 9:30 PM CDT	No Refunds	$100 – $130	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Gala""},{""tags"":""Other""}]"							
1554597219-924	https://www.eventbrite.com/d/il--chicago/all-events/?page=42	Online Garden Planning DemoOnline Garden Planning Demo	https://www.eventbrite.com/e/online-garden-planning-demo-tickets-55908173853?aff=ebdssbdestsearch	null	null	null		null	[]							
1554600224-974	https://www.eventbrite.com/d/il--chicago/all-events/?page=17	2nd Annual Toast of Uptown:  A Buena Park Wine Walk2nd Annual Toast of Uptown:  A Buena Park Wine Walk	https://www.eventbrite.com/e/2nd-annual-toast-of-uptown-a-buena-park-wine-walk-tickets-59189224564?aff=ebdssbdestsearch	2nd Annual Toast of Uptown:  A Buena Park Wine Walk	"Sun, April 28, 2019"	2:00 PM – 5:00 PM CDT	No Refunds	$40 	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Tour""},{""tags"":""Food & Drink""}]"							
1554599863-971	https://www.eventbrite.com/d/il--chicago/all-events/?page=20	19th Annual Latina/o Law Students Association Alumni Banquet19th Annual Latina/o Law Students Association Alumni Banquet	https://www.eventbrite.com/e/19th-annual-latinao-law-students-association-alumni-banquet-tickets-57615599810?aff=ebdssbdestsearch	19th Annual Latina/o Law Students Association Alumni Banquet	"Fri, April 12, 2019"	6:30 PM – 9:00 PM CDT		$50 – $70	"[{""tags"":""Things to do in Chicago, IL""}]"							
1554597700-928	https://www.eventbrite.com/d/il--chicago/all-events/?page=38	2nd Strategic Corporate Communications Conference2nd Strategic Corporate Communications Conference	https://www.eventbrite.com/e/2nd-strategic-corporate-communications-conference-registration-54890207087?aff=ebdssbdestsearch	2nd Strategic Corporate Communications Conference	null	null		"$1,295 – $3,495"	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Conference""},{""tags"":""Business""}]"							
1554599022-952	https://www.eventbrite.com/d/il--chicago/all-events/?page=27	All Star Weekend 2020All Star Weekend 2020	https://www.eventbrite.com/e/all-star-weekend-2020-tickets-57067635835?aff=ebdssbdestsearch	All Star Weekend 2020	"Fri, Feb 14, 2020, 7:00 PM –"	"Mon, Feb 17, 2020, 10:00 PM CST"		$0 – $2	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Party""},{""tags"":""Other""}]"							
1554598661-944	https://www.eventbrite.com/d/il--chicago/all-events/?page=30	"Speaking the Same Language: POVs from Agency, Vendor & Client SidesSpeaking the Same Language: POVs from Agency, Vendor & Client Sides"	https://www.eventbrite.com/e/speaking-the-same-language-povs-from-agency-vendor-client-sides-tickets-59203305681?aff=ebdssbdestsearch	"Speaking the Same Language: POVs from Agency, Vendor & Client Sides"	"Wed, April 24, 2019"	6:00 PM – 8:00 PM CDT	No Refunds	$20 	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Networking""},{""tags"":""Business""}]"							
1554602146-1002	https://www.eventbrite.com/d/il--chicago/all-events/?page=1	Chicago Food Truck Festival (Summer 2019)Chicago Food Truck Festival (Summer 2019)	https://www.eventbrite.com/e/chicago-food-truck-festival-summer-2019-tickets-54158401236?aff=ebdssbdestsearch	Chicago Food Truck Festival (Summer 2019)	"Sat, Jun 22, 2019, 11:00 AM –"	"Sun, Jun 23, 2019, 7:00 PM CDT"		$0 – $10	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Festival""},{""tags"":""Food & Drink""}]"							
1554597340-925	https://www.eventbrite.com/d/il--chicago/all-events/?page=41	Next Wave Impact National MeetingNext Wave Impact National Meeting	https://www.eventbrite.com/e/next-wave-impact-national-meeting-tickets-55730006951?aff=ebdssbdestsearch	Next Wave Impact National Meeting	"Tue, April 23, 2019"	9:30 AM – 8:00 PM CDT		$90 – $110	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Class""},{""tags"":""Business""}]"							
1554599383-963	https://www.eventbrite.com/d/il--chicago/all-events/?page=24	Lincoln PTO Trivia NightLincoln PTO Trivia Night	https://www.eventbrite.com/e/lincoln-pto-trivia-night-tickets-53644932437?aff=ebdssbdestsearch	Lincoln PTO Trivia Night	"Sat, Apr 6, 2019, 7:00 PM –"	"Sun, Apr 7, 2019, 12:00 AM CDT"	No Refunds	$50 	"[{""tags"":""Things to do in Berwyn, IL""},{""tags"":""Game""},{""tags"":""Other""}]"							
1554597820-929	https://www.eventbrite.com/d/il--chicago/all-events/?page=37	Bisexual Health SummitBisexual Health Summit	https://www.eventbrite.com/e/bisexual-health-summit-tickets-56376055299?aff=ebdssbdestsearch	Bisexual Health Summit	"Tue, July 9, 2019"	1:00 PM – 5:00 PM CDT		Free	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Networking""},{""tags"":""Health""}]"							
1554600344-975	https://www.eventbrite.com/d/il--chicago/all-events/?page=16	WomenHack - Chicago Employer Ticket 4/11 [SOLD OUT]WomenHack - Chicago Employer Ticket 4/11 [SOLD OUT]	https://www.eventbrite.com/e/womenhack-chicago-employer-ticket-411-sold-out-tickets-51571260027?aff=ebdssbdestsearch	WomenHack - Chicago Employer Ticket 4/11 [SOLD OUT]	"Thu, April 11, 2019"	7:00 PM – 9:30 PM CDT	No Refunds	"$650 – $1,695"	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Networking""},{""tags"":""Business""}]"							
1554599743-970	https://www.eventbrite.com/d/il--chicago/all-events/?page=21	Passport Vibes: Afrobeat Street Festival @ The PromontoryPassport Vibes: Afrobeat Street Festival @ The Promontory	https://www.eventbrite.com/e/passport-vibes-afrobeat-street-festival-the-promontory-tickets-59594278090?aff=ebdssbdestsearch	Passport Vibes: Afrobeat Street Festival @ The Promontory	"Sat, June 22, 2019"	Doors at 12:00 PM CDT		Free	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Music""}]"							
1554597140-917	https://www.eventbrite.com/d/il--chicago/all-events/?page=45	Silent Party at Subterranean (HeadphonesOnWorldOff)Silent Party at Subterranean (HeadphonesOnWorldOff)	https://www.eventbrite.com/e/silent-party-at-subterranean-headphonesonworldoff-tickets-54924721320?aff=ebdssbdestsearch	Silent Party at Subterranean (HeadphonesOnWorldOff)	"Sat, Apr 13, 2019, 10:00 PM –"	"Sun, Apr 14, 2019, 2:00 AM CDT"		$10 – $35	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Party""},{""tags"":""Music""}]"							
1554597130-916	https://www.eventbrite.com/d/il--chicago/all-events/?page=46	ChicagoRumFest Pre-Party @ Hala Kahiki | April 26th ChicagoRumFest Pre-Party @ Hala Kahiki | April 26th	https://www.eventbrite.com/e/chicagorumfest-pre-party-hala-kahiki-april-26th-tickets-58819474632?aff=ebdssbdestsearch	ChicagoRumFest Pre-Party @ Hala Kahiki | April 26th	"Fri, April 26, 2019"	5:00 PM – 11:00 PM CDT	No Refunds	$0 – $6	"[{""tags"":""Things to do in River Grove, IL""},{""tags"":""Party""},{""tags"":""Food & Drink""}]"							
1554597580-927	https://www.eventbrite.com/d/il--chicago/all-events/?page=39	"Agile Leadership: Leading Amazing Teams (LAT) - Chicago, ILAgile Leadership: Leading Amazing Teams (LAT) - Chicago, IL"	https://www.eventbrite.com/e/agile-leadership-leading-amazing-teams-lat-chicago-il-tickets-50293278550?aff=ebdssbdestsearch	"Agile Leadership: Leading Amazing Teams (LAT) - Chicago, ILAgile Leadership: Leading Amazing Teams (LAT) - Chicago, IL"	null	null		null	[]							
1554598782-945	https://www.eventbrite.com/d/il--chicago/all-events/?page=29	Spring Patio Puppy Party!Spring Patio Puppy Party!	https://www.eventbrite.com/e/spring-patio-puppy-party-tickets-58595990184?aff=ebdssbdestsearch	Spring Patio Puppy Party!	"Sun, April 14, 2019"	11:00 AM – 3:00 PM CDT		Free	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Party""},{""tags"":""Other""}]"							
1554597460-926	https://www.eventbrite.com/d/il--chicago/all-events/?page=40	Beer Run - Lo-Rez Brewing - Part of the 2019 IL Brewery Running SeriesBeer Run - Lo-Rez Brewing - Part of the 2019 IL Brewery Running Series	https://www.eventbrite.com/e/beer-run-lo-rez-brewing-part-of-the-2019-il-brewery-running-series-tickets-52961797161?aff=ebdssbdestsearch	Beer Run - Lo-Rez Brewing - Part of the 2019 IL Brewery Running Series	"Sat, April 27, 2019"	11:00 AM – 2:00 PM CDT	Refunds up to 7 days before event	$0 – $100	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Race""},{""tags"":""Sports & Fitness""}]"							
1554597940-930	https://www.eventbrite.com/d/il--chicago/all-events/?page=36	Prince Paint and SipPrince Paint and Sip	https://www.eventbrite.com/e/prince-paint-and-sip-tickets-57878728836?aff=ebdssbdestsearch	Prince Paint and Sip	"Sat, April 20, 2019"	6:00 PM – 9:00 PM CDT	No Refunds	$35 – $105	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Party""},{""tags"":""Hobbies""}]"							
1554601786-995	https://www.eventbrite.com/d/il--chicago/all-events/?page=4	"Stan's Donut 5K Run, Walk, & Kids DashStan's Donut 5K Run, Walk, & Kids Dash"	https://www.eventbrite.com/e/stans-donut-5k-run-walk-kids-dash-tickets-54771422800?aff=ebdssbdestsearch	"Stan's Donut 5K Run, Walk, & Kids Dash"	"Sat, August 10, 2019"	8:00 AM – 12:00 PM CDT	No Refunds	$25 – $50	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Race""},{""tags"":""Sports & Fitness""}]"							
1554601545-993	https://www.eventbrite.com/d/il--chicago/all-events/?page=6	RNBHouseParty CHICAGO: 3 YR Anniversary Party Sponsored by Martell CognacRNBHouseParty CHICAGO: 3 YR Anniversary Party Sponsored by Martell Cognac	https://www.eventbrite.com/e/rnbhouseparty-chicago-3-yr-anniversary-party-sponsored-by-martell-cognac-tickets-55131304215?aff=ebdssbdestsearch	RNBHouseParty CHICAGO: 3 YR Anniversary Party Sponsored by Martell Cognac	"Sat, April 6, 2019"	4:00 PM – 8:00 PM CDT	No Refunds	$15 – $75	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Party""},{""tags"":""Music""}]"							
1554600103-973	https://www.eventbrite.com/d/il--chicago/all-events/?page=18	2019 Grace Giving Trivia Night2019 Grace Giving Trivia Night	https://www.eventbrite.com/e/2019-grace-giving-trivia-night-tickets-54706985065?aff=ebdssbdestsearch	2019 Grace Giving Trivia Night	"Sat, April 13, 2019"	5:30 PM – 10:00 PM CDT		$650 	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Game""},{""tags"":""Charity & Causes""}]"							
1554597148-918	https://www.eventbrite.com/d/il--chicago/all-events/?page=44	Chicago Loves Bachata Weekender - 1st EditionChicago Loves Bachata Weekender - 1st Edition	https://www.eventbrite.com/e/chicago-loves-bachata-weekender-1st-edition-tickets-55950797341?aff=ebdssbdestsearch	Chicago Loves Bachata Weekender - 1st Edition	"Sat, Jun 22, 2019, 12:00 PM –"	"Sun, Jun 23, 2019, 3:00 AM CDT"		$34 – $49	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Class""},{""tags"":""Arts""}]"							
