web-scraper-order,web-scraper-start-url,url,url-href,title,date,time,venue,price,tags
"1554659248-1174","https://www.eventbrite.com/d/ny--new-york/all-events/?page=7","Buying Time Ball 2019Buying Time Ball 2019","https://www.eventbrite.com/e/buying-time-ball-2019-tickets-53752459052?aff=ebdssbdestsearch","Buying Time Ball 2019","Fri, Apr 12, 2019, 9:00 PM –","Sat, Apr 13, 2019, 1:00 AM EDT","2 Desbrosses Street","$210","[{""tags"":""Things to do in New York, NY""}]"
"1554659240-1173","https://www.eventbrite.com/d/ny--new-york/all-events/?page=8","THE BIG FREE FLAG PARTY THURSDAY AUG 29TH AMAZURA THE BIG FREE FLAG PARTY THURSDAY AUG 29TH AMAZURA","https://www.eventbrite.com/e/the-big-free-flag-party-thursday-aug-29th-amazura-tickets-48557654251?aff=ebdssbdestsearch","null","null","null","null","null","[]"
"1554659005-1147","https://www.eventbrite.com/d/ny--new-york/all-events/?page=34","What We Like - Saturday Night with Warthog, S.H.I.T and moreWhat We Like - Saturday Night with Warthog, S.H.I.T and more","https://www.eventbrite.com/e/what-we-like-saturday-night-with-warthog-shit-and-more-tickets-56049972978?aff=ebdssbdestsearch","What We Like - Saturday Night with Warthog, S.H.I.T and more","Sat, May 11, 2019","8:00 PM – 11:00 PM EDT","150 Greenpoint Avenue","$20","[{""tags"":""Things to do in Brooklyn, NY""},{""tags"":""Performance""},{""tags"":""Music""}]"
"1554659180-1165","https://www.eventbrite.com/d/ny--new-york/all-events/?page=16","Health, Wellness & Business Expo NYC Health, Wellness & Business Expo NYC","https://www.eventbrite.com/e/health-wellness-business-expo-nyc-tickets-52445854964?aff=ebdssbdestsearch","Health, Wellness & Business Expo NYC","Sat, June 15, 2019","10:00 AM – 4:00 PM EDT","4 West 43rd Street","Free","[{""tags"":""Things to do in New York, NY""},{""tags"":""Expo""},{""tags"":""Health""}]"
"1554658982-1144","https://www.eventbrite.com/d/ny--new-york/all-events/?page=37","PRIMER19 | FUTURES FOR ALLPRIMER19 | FUTURES FOR ALL","https://www.eventbrite.com/e/primer19-futures-for-all-tickets-45596148307?aff=ebdssbdestsearch","PRIMER19 | FUTURES FOR ALL","Thu, Jun 13, 2019, 9:00 AM –","Sat, Jun 15, 2019, 9:00 PM EDT","John L. Tishman Auditorium (University Center)","$100 – $350","[{""tags"":""Things to do in New York, NY""},{""tags"":""Conference""},{""tags"":""Business""}]"
"1554659278-1178","https://www.eventbrite.com/d/ny--new-york/all-events/?page=3","PATRICE ROBERTS LIVE !! | WELCOME TO NYC | MANHATTAN AFTERWORK DOCKSIDE FETE | TRUCKED WEEKEND 2019PATRICE ROBERTS LIVE !! | WELCOME TO NYC | MANHATTAN AFTERWORK DOCKSIDE FET...","https://www.eventbrite.com/e/patrice-roberts-live-welcome-to-nyc-manhattan-afterwork-dockside-fete-trucked-weekend-2019-tickets-57086162248?aff=ebdssbdestsearch","PATRICE ROBERTS LIVE !! | WELCOME TO NYC | MANHATTAN AFTERWORK DOCKSIDE FET...","Fri, Apr 12, 2019, 7:00 PM –","Sat, Apr 13, 2019, 12:00 AM EDT","353 West Street","$20 – $25","[{""tags"":""Things to do in New York, NY""}]"
"1554659073-1155","https://www.eventbrite.com/d/ny--new-york/all-events/?page=26","The Future of Experiences | Half-day Trend Event, New York, 14th May 2019The Future of Experiences | Half-day Trend Event, New York, 14th May 2019","https://www.eventbrite.co.uk/e/the-future-of-experiences-half-day-trend-event-new-york-14th-may-2019-tickets-55687111650?aff=ebdssbdestsearch","null","null","null","null","null","[]"
"1554658989-1145","https://www.eventbrite.com/d/ny--new-york/all-events/?page=36","Spring Wine Dinner: Anfora-Aged Wines from i CacciagalliSpring Wine Dinner: Anfora-Aged Wines from i Cacciagalli","https://www.eventbrite.com/e/spring-wine-dinner-anfora-aged-wines-from-i-cacciagalli-tickets-59183518497?aff=ebdssbdestsearch","Spring Wine Dinner: Anfora-Aged Wines from i Cacciagalli","Tue, April 9, 2019","7:00 PM – 10:00 PM EDT","Brooklyn, NY 11238","$145","[{""tags"":""Things to do in Brooklyn, NY""},{""tags"":""Gala""},{""tags"":""Food & Drink""}]"
"1554659212-1169","https://www.eventbrite.com/d/ny--new-york/all-events/?page=12","Focus Camera Presents: A Night with SonyFocus Camera Presents: A Night with Sony","https://www.eventbrite.com/e/focus-camera-presents-a-night-with-sony-tickets-59334910314?aff=ebdssbdestsearch","Focus Camera Presents: A Night with Sony","Wed, April 10, 2019","6:00 PM – 10:00 PM EDT","67 West Street","Free","[{""tags"":""Things to do in Brooklyn, NY""},{""tags"":""Networking""},{""tags"":""Hobbies""}]"
"1554659021-1149","https://www.eventbrite.com/d/ny--new-york/all-events/?page=32","5th Annual Khem Comic Fest5th Annual Khem Comic Fest","https://www.eventbrite.com/e/5th-annual-khem-comic-fest-tickets-53127315230?aff=ebdssbdestsearch","5th Annual Khem Comic Fest","Sat, April 13, 2019","11:00 AM – 8:00 PM EDT","50 Halsey Street","$0 – $50","[{""tags"":""Things to do in Newark, NJ""},{""tags"":""Festival""},{""tags"":""Film & Media""}]"
"1554658943-1139","https://www.eventbrite.com/d/ny--new-york/all-events/?page=42","2019 Female Founders Forum2019 Female Founders Forum","https://www.eventbrite.com/e/2019-female-founders-forum-tickets-59007220184?aff=ebdssbdestsearch","2019 Female Founders Forum","Fri, April 12, 2019","12:00 PM – 6:00 PM","100 Sixth Avenue","$0 – $25","[{""tags"":""Things to do in New York, NY""},{""tags"":""Festival""},{""tags"":""Business""}]"
"1554659257-1175","https://www.eventbrite.com/d/ny--new-york/all-events/?page=6","Shrek Jr. ProductionShrek Jr. Production","https://www.eventbrite.com/e/shrek-jr-production-tickets-55577081547?aff=ebdssbdestsearch","Shrek Jr. Production","null","null","91 Claremont Ave","$5 – $40","[{""tags"":""Things to do in New York, NY""},{""tags"":""Performance""},{""tags"":""Arts""}]"
"1554659204-1168","https://www.eventbrite.com/d/ny--new-york/all-events/?page=13","The Dollop - Late Show Added!The Dollop - Late Show Added!","https://www.eventbrite.com/e/the-dollop-late-show-added-tickets-55994092839?aff=ebdssbdestsearch","The Dollop - Late Show Added!","Sat, May 18, 2019, 10:30 PM EDT","","149 7th Street","$30","[{""tags"":""Things to do in Brooklyn, NY""},{""tags"":""Performance""},{""tags"":""Arts""}]"
"1554658900-1133","https://www.eventbrite.com/d/ny--new-york/all-events/?page=48","NYC Wet Shavers ExpoNYC Wet Shavers Expo","https://www.eventbrite.com/e/nyc-wet-shavers-expo-tickets-58339928296?aff=ebdssbdestsearch","NYC Wet Shavers Expo","Sat, April 13, 2019","2:30 PM – 6:00 PM EDT","549 W 52nd St","$7.99","[{""tags"":""Things to do in New York City, NY""},{""tags"":""Convention""},{""tags"":""Other""}]"
